14-11-24 下午7:10
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	30350	190950	1322979	1477243	    73	
剩余：  	22656	154120	1067490	1193595	    65	
独特：  	11582	 87583	 594903	 667491	    69	
剩余独特：	 9838	 72666	 501243	 561218	    61	


单文件统计：

文件名                                	  总片段	 剩余片段	独特片段	剩余独特片段	 总计词汇	 剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
announce_plugin.html               	   80	   52	  62	    50	  300	  219	  250	   217	    2453	     1768	     1994	       1706	    2659	     1925	     2170	       1863	
ant.html                           	  213	    0	 153	     0	 1481	    0	 1358	     0	    9428	        0	     8321	          0	   10634	        0	     9466	          0	
antlr_plugin.html                  	  107	   67	  67	    56	  419	  311	  333	   296	    3036	     2164	     2180	       1933	    3323	     2388	     2427	       2155	
application_plugin.html            	  111	   80	  78	    70	  683	  620	  607	   586	    4984	     4237	     4235	       3958	    5518	     4751	     4730	       4448	
artifact_dependencies_tutorial.html	  205	  154	 153	   145	 1546	 1457	 1468	  1448	    9872	     8856	     8979	       8757	   11197	    10143	    10267	      10035	
artifact_management.html           	  140	  111	  98	    95	 1053	  995	  969	   959	    6825	     6298	     5929	       5854	    7730	     7174	     6793	       6711	
build_announcements_plugin.html    	   46	   24	  15	    14	  192	  133	  112	   111	    1441	      934	      700	        689	    1584	     1044	      798	        787	
build_environment.html             	   88	    0	  63	     0	  799	    0	  741	     0	    5171	        0	     4644	          0	    5834	        0	     5278	          0	
build_init_plugin.html             	  126	  100	  83	    81	  843	  785	  702	   693	    5274	     4684	     4133	       4085	    5980	     5362	     4742	       4687	
build_lifecycle.html               	  258	  220	 210	   203	 2235	 2148	 2148	  2114	   14257	    13351	    13250	      12917	   16178	    15244	    15138	      14798	
buildDashboard_plugin.html         	   64	   43	  29	    29	  332	  287	  244	   244	    2388	     1963	     1612	       1612	    2651	     2206	     1825	       1825	
checkstyle_plugin.html             	   82	   53	  45	    40	  299	  223	  221	   204	    2369	     1802	     1649	       1561	    2576	     1966	     1821	       1721	
codenarc_plugin.html               	   82	   56	  36	    36	  295	  234	  181	   181	    2284	     1787	     1361	       1361	    2491	     1963	     1503	       1503	
comparing_builds.html              	  123	   97	  92	    88	 1068	 1025	 1006	   999	    6444	     5850	     5784	       5642	    7386	     6781	     6697	       6555	
custom_plugins.html                	  228	  181	 170	   165	 1716	 1630	 1600	  1581	   11758	    10789	    10542	      10316	   13182	    12190	    11911	      11681	
