14-11-16 上午12:29
文件1：announce_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 4	  4	    116	    116	
与其他文件重复： 	 0	  0	      0	      0	
精确匹配：    	25	 78	    604	    653	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 2	  5	     48	     53	
75%-84%： 	 2	 13	    115	    125	
50%-74%： 	 4	 29	    189	    214	
无匹配：     	43	171	   1381	   1498	
总共：      	80	300	   2453	   2659	

文件2：ant.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  9	  16	    147	    156	
与其他文件重复： 	  0	   0	      0	      0	
精确匹配：    	112	 712	   4110	   4701	
95%-100%：	  1	  14	     77	     86	
85%-94%： 	  2	   6	     49	     55	
75%-84%： 	  9	  75	    407	    462	
50%-74%： 	 25	 227	   1234	   1427	
无匹配：     	 55	 431	   3404	   3747	
总共：      	213	1481	   9428	  10634	

文件3：antlr_plugin.html
         	 片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 16	 32	    333	    347	
与其他文件重复： 	  3	  3	     81	     81	
精确匹配：    	 26	 59	    512	    541	
95%-100%：	  0	  0	      0	      0	
85%-94%： 	  2	  9	     82	     84	
75%-84%： 	  4	 15	    150	    158	
50%-74%： 	 12	 94	    502	    585	
无匹配：     	 44	207	   1376	   1527	
总共：      	107	419	   3036	   3323	

文件4：application_plugin.html
         	 片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 10	 32	    332	    354	
与其他文件重复： 	  2	  4	     17	     19	
精确匹配：    	 28	 60	    642	    662	
95%-100%：	  0	  0	      0	      0	
85%-94%： 	  1	  4	     39	     42	
75%-84%： 	  7	 25	    292	    299	
50%-74%： 	 15	134	    831	    941	
无匹配：     	 48	424	   2831	   3201	
总共：      	111	683	   4984	   5518	

文件5：artifact_dependencies_tutorial.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  3	   3	     21	     24	
与其他文件重复： 	  7	   9	    141	    147	
精确匹配：    	 50	  86	    953	    991	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  3	  15	    275	    275	
75%-84%： 	  2	  14	    107	    119	
50%-74%： 	 34	 253	   1523	   1739	
无匹配：     	106	1166	   6852	   7902	
总共：      	205	1546	   9872	  11197	

文件6：artifact_management.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  8	  27	    249	    266	
与其他文件重复： 	 10	  19	    243	    253	
精确匹配：    	 26	  43	    455	    472	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  0	   0	      0	      0	
75%-84%： 	  3	  13	    110	    117	
50%-74%： 	 27	 205	   1162	   1340	
无匹配：     	 66	 746	   4606	   5282	
总共：      	140	1053	   6825	   7730	

文件7：build_announcements_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 4	  4	     80	     80	
与其他文件重复： 	 6	 18	    165	    177	
精确匹配：    	21	 58	    496	    529	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  3	     42	     44	
75%-84%： 	 1	  3	     44	     46	
50%-74%： 	 5	 54	    278	    327	
无匹配：     	 8	 52	    336	    381	
总共：      	46	192	   1441	   1584	

文件8：build_environment.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	10	 28	    203	    221	
与其他文件重复： 	 0	  0	      0	      0	
精确匹配：    	16	 31	    341	    352	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 0	  0	      0	      0	
75%-84%： 	 1	  5	     29	     33	
50%-74%： 	10	 91	    467	    550	
无匹配：     	51	644	   4131	   4678	
总共：      	88	799	   5171	   5834	

文件9：build_init_plugin.html
         	 片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 12	 52	    380	    422	
与其他文件重复： 	 10	 43	    324	    358	
精确匹配：    	 23	 55	    485	    513	
95%-100%：	  0	  0	      0	      0	
85%-94%： 	  0	  0	      0	      0	
75%-84%： 	  2	  4	     96	     96	
50%-74%： 	  8	 66	    323	    382	
无匹配：     	 71	623	   3666	   4209	
总共：      	126	843	   5274	   5980	

文件10：build_lifecycle.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 17	  34	    434	    446	
与其他文件重复： 	  1	   3	     53	     53	
精确匹配：    	 34	  67	    668	    696	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	 10	  53	    493	    508	
75%-84%： 	  2	   4	     94	     94	
50%-74%： 	 49	 435	   2629	   3014	
无匹配：     	145	1639	   9886	  11367	
总共：      	258	2235	  14257	  16178	

文件11：buildDashboard_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 1	  6	     33	     38	
与其他文件重复： 	13	 37	    318	    343	
精确匹配：    	21	 45	    425	    445	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  3	     38	     40	
75%-84%： 	 5	 25	    259	    276	
50%-74%： 	 9	 70	    430	    492	
无匹配：     	14	146	    885	   1017	
总共：      	64	332	   2388	   2651	

文件12：checkstyle_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 8	 10	    200	    200	
与其他文件重复： 	 7	 11	     55	     59	
精确匹配：    	27	 74	    553	    596	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  3	     33	     35	
75%-84%： 	 2	  4	    115	    115	
50%-74%： 	 9	 70	    432	    493	
无匹配：     	28	127	    981	   1078	
总共：      	82	299	   2369	   2576	

文件13：codenarc_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	10	 20	    256	    264	
与其他文件重复： 	12	 35	    184	    210	
精确匹配：    	24	 59	    483	    514	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  3	     31	     33	
75%-84%： 	 3	  9	    138	    142	
50%-74%： 	 7	 46	    290	    329	
无匹配：     	25	123	    902	    999	
总共：      	82	295	   2284	   2491	

文件14：comparing_builds.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  8	  25	    179	    197	
与其他文件重复： 	  3	   3	     57	     57	
精确匹配：    	 23	  40	    552	    563	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  0	   0	      0	      0	
75%-84%： 	  3	  13	    155	    164	
50%-74%： 	 16	 150	    864	    998	
无匹配：     	 70	 837	   4637	   5407	
总共：      	123	1068	   6444	   7386	

文件15：custom_plugins.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 11	  52	    407	    440	
与其他文件重复： 	  7	   7	    140	    143	
精确匹配：    	 43	  68	    805	    828	
95%-100%：	  1	  24	    145	    166	
85%-94%： 	  6	  28	    252	    263	
75%-84%： 	  2	  10	    138	    138	
50%-74%： 	 43	 288	   1786	   2031	
无匹配：     	115	1239	   8085	   9173	
总共：      	228	1716	  11758	  13182	

文件16：custom_tasks.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 17	  72	   1745	   1761	
与其他文件重复： 	 38	 211	   1509	   1681	
精确匹配：    	 44	  66	    751	    775	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  7	  60	    494	    539	
75%-84%： 	 10	  47	    399	    435	
50%-74%： 	 42	 324	   2004	   2288	
无匹配：     	121	1632	  10102	  11556	
总共：      	279	2412	  17004	  19035	

文件17：dependency_management.html
         	  片段	   词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  38	   96	   1326	   1381	
与其他文件重复： 	  62	  101	   1044	   1117	
精确匹配：    	 117	  112	   1323	   1352	
95%-100%：	   0	    0	      0	      0	
85%-94%： 	  19	   79	    702	    751	
75%-84%： 	  21	   73	   1119	   1132	
50%-74%： 	 115	  855	   5688	   6401	
无匹配：     	 690	 8981	  55380	  63481	
总共：      	1062	10297	  66582	  75615	

文件18：distribution_plugin.html
         	 片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  5	 29	    195	    219	
与其他文件重复： 	 24	 44	    304	    330	
精确匹配：    	 37	 83	    859	    898	
95%-100%：	  0	  0	      0	      0	
85%-94%： 	  2	  9	     91	     93	
75%-84%： 	  1	  2	     61	     61	
50%-74%： 	 10	 60	    423	    474	
无匹配：     	 35	320	   2476	   2747	
总共：      	114	547	   4409	   4822	

文件19：ear_plugin.html
         	 片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  7	 21	    119	    131	
